130012	225	655	219	0	
140013	225	633	214	0	
150013	225	656	220	0	
160015	225	633	214	0	
170016	225	651	218	0	
180017	225	642	216	0	
190018	225	645	217	0	
200019	225	646	217	0	
210020	225	537	190	0	
220021	225	620	211	0	
230022	225	625	212	0	
240023	225	625	212	0	
250024	225	623	211	0	
0	225	679	225	1	
10000	225	112	84	1	
20001	225	111	83	1	
30002	225	110	83	1	
40003	225	111	83	1	
50003	225	111	83	1	
60005	225	112	84	1	
70005	225	112	84	1	
80007	225	113	84	1	
90007	225	114	84	1	
100008	225	147	92	1	
110009	225	116	85	1	
120010	225	117	85	1	
130012	225	119	85	1	
140012	225	120	86	1	
150013	225	121	86	1	
160014	225	123	86	1	
170015	225	124	87	1	
180017	225	126	87	1	
190017	225	127	87	1	
200018	225	129	88	1	
210019	225	131	88	1	
220020	225	133	89	1	
230021	225	134	89	1	
240022	225	137	90	1	
250023	225	139	90	1	
260024	225	140	91	1	
270025	225	143	91	1	
280026	225	145	92	1	
290027	225	147	92	1	
300027	225	150	93	1	
310029	225	153	94	1	
320030	225	155	94	1	
330031	225	158	95	1	
340032	225	160	96	1	
350032	225	163	96	1	
360034	225	167	97	1	
370035	225	170	98	1	
380036	225	173	99	1	
390037	225	176	100	1	
400037	225	179	100	1	
410039	225	182	101	1	
420040	225	185	102	1	
430041	225	188	103	1	
440042	225	192	104	1	
450042	225	196	105	1	
460044	225	200	106	1	
470045	225	203	106	1	
480046	225	207	107	1	
490047	225	211	108	1	
500048	225	215	109	1	
510049	225	218	110	1	
520050	225	223	111	1	
530051	225	226	112	1	
540052	225	230	113	1	
550053	225	235	114	1	
560054	225	240	116	1	
570055	225	244	117	1	
580057	225	250	118	1	
590057	225	254	119	1	
600058	225	259	120	1	
610059	225	262	121	1	
620060	225	266	122	1	
630062	225	271	123	1	
640062	225	276	125	1	
650063	225	280	126	1	
660065	225	285	127	1	
670065	225	289	128	1	
680067	225	294	129	1	
690067	225	299	130	1	
700068	225	305	132	1	
710070	225	310	133	1	
720070	225	316	135	1	
730072	225	321	136	1	
740073	225	326	137	1	
750073	225	332	139	1	
760075	225	337	140	1	
770075	225	342	141	1	
780077	225	348	143	1	
790078	225	352	144	1	
800078	225	359	145	1	
810080	225	366	147	1	
820081	225	370	148	1	
830082	225	377	150	1	
840083	225	382	151	1	
850083	225	387	152	1	
860085	225	392	154	1	
870086	225	397	155	1	
880087	225	403	156	1	
890088	225	409	158	1	
900089	225	415	159	1	
910090	225	422	161	1	
920091	225	428	163	1	
930092	225	434	164	1	
940093	225	441	166	1	
950094	225	446	167	1	
960095	225	451	168	1	
970096	225	457	170	1	
980098	225	464	172	1	
990098	225	471	173	1	
1000099	225	477	175	1	
1010100	225	482	176	1	
1020101	225	488	178	1	
1030103	225	494	179	1	
1040103	225	499	180	1	
1050104	225	505	182	1	
1060106	225	512	184	1	
1070106	225	517	185	1	
1080108	225	521	186	1	
1090109	225	527	187	1	
1100109	225	533	189	1	
1110111	225	540	191	1	
1120112	225	547	192	1	
1130113	225	553	194	1	
1140114	225	557	195	1	
1150115	225	562	196	1	
1160116	225	569	198	1	
1170117	225	576	200	1	
1180119	225	581	201	1	
1190119	225	585	202	1	
1200120	225	589	203	1	
1210122	225	594	204	1	
1220122	225	600	206	1	
1230124	225	606	207	1	
1240125	225	611	208	1	
1250125	225	617	210	1	
1260127	225	622	211	1	
1270128	225	628	213	1	
1280129	225	632	214	1	
1290130	225	636	215	1	
1300131	225	641	216	1	
1310132	225	646	217	1	
1320133	225	651	218	1	
1330135	225	656	220	1	
1340135	225	662	221	1	
1350136	225	666	222	1	
1360138	225	670	223	1	
1370138	225	675	224	1	
1380140	225	678	225	1	
1390141	225	685	227	0	
1400141	225	662	221	0	
1410143	225	666	222	0	
1420144	225	671	223	0	
1430145	225	674	224	0	
1440146	225	679	225	0	
1450147	225	682	226	0	
1460148	225	685	227	0	
1470149	225	687	227	0	
1480151	225	690	228	0	
1490151	225	690	228	0	
1500152	225	692	229	0	
1510154	225	693	229	0	
1520154	225	695	229	0	
1530156	225	696	230	0	
1540157	225	697	230	0	
1550157	225	697	230	0	
1560159	225	699	230	0	
1570160	225	700	231	0	
1580161	225	700	231	0	
1590162	225	700	231	0	
1600163	225	700	231	0	
1610164	225	700	231	0	
1620165	225	700	231	0	
1630167	225	699	230	0	
1640167	225	699	230	0	
1650168	225	699	230	0	
1660170	225	699	230	0	
1670170	225	698	230	0	
1680172	225	696	230	0	
1690173	225	694	229	0	
1700173	225	694	229	0	
